Lines,Lon,Lat,VehicleNumber,Time,Brigade
512,21.0631787,52.2723244,4413,2024-10-25 20:10:13,2
512,21.0521609,52.2529746,4422,2024-10-25 20:10:13,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.074743,52.287407,5457,2024-10-25 20:10:13,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049623,52.286013,1550,2024-10-25 20:10:19,3
512,21.039961,52.250793,1833,2024-10-25 20:10:33,5
512,21.0623482,52.2712544,4413,2024-10-25 20:10:37,2
512,21.052174,52.252933,4422,2024-10-25 20:10:37,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.074446,52.287582,5457,2024-10-25 20:10:33,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049623,52.286013,1550,2024-10-25 20:10:40,3
512,21.038193,52.251896,1833,2024-10-25 20:10:53,5
512,21.060315,52.2687862,4413,2024-10-25 20:11:00,2
512,21.052176,52.252968,4422,2024-10-25 20:11:00,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.071709,52.289433,5457,2024-10-25 20:10:58,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.049459,52.286279,1550,2024-10-25 20:11:20,3
512,21.038125,52.25197,1833,2024-10-25 20:11:13,5
512,21.0587069,52.2668539,4413,2024-10-25 20:11:18,2
512,21.052179,52.252972,4422,2024-10-25 20:11:22,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.070478,52.290321,5457,2024-10-25 20:11:20,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.050461,52.285578,1550,2024-10-25 20:11:40,3
512,21.03713,52.252741,1833,2024-10-25 20:11:33,5
512,21.0578332,52.2657867,4413,2024-10-25 20:11:44,2
512,21.052162,52.252979,4422,2024-10-25 20:11:41,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.069262,52.29108,5457,2024-10-25 20:11:40,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.051896,52.284136,1550,2024-10-25 20:12:00,3
512,21.035344,52.254441,1833,2024-10-25 20:11:54,5
512,21.0555004,52.2639109,4413,2024-10-25 20:12:03,2
512,21.0521532,52.2529599,4422,2024-10-25 20:12:06,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.068914,52.291309,5457,2024-10-25 20:12:02,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.053288,52.283258,1550,2024-10-25 20:12:21,3
512,21.035223,52.254609,1833,2024-10-25 20:12:14,5
512,21.0508922,52.2618506,4413,2024-10-25 20:12:27,2
512,21.0521589,52.2529642,4422,2024-10-25 20:12:28,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.06879,52.291401,5457,2024-10-25 20:12:26,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.054774,52.283538,1550,2024-10-25 20:12:41,3
512,21.035164,52.254821,1833,2024-10-25 20:12:34,5
512,21.0474646,52.2603476,4413,2024-10-25 20:12:50,2
512,21.0521631,52.2529527,4422,2024-10-25 20:12:50,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.067383,52.290367,5457,2024-10-25 20:12:46,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.055758,52.283741,1550,2024-10-25 20:13:01,3
512,21.0361,52.255143,1833,2024-10-25 20:12:54,5
512,21.0474507,52.2603331,4413,2024-10-25 20:13:12,2
512,21.052165,52.2529525,4422,2024-10-25 20:13:12,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.06567,52.288666,5457,2024-10-25 20:13:08,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.058193,52.284248,1550,2024-10-25 20:13:21,3
512,21.0361,52.255143,1833,2024-10-25 20:13:14,5
512,21.0474564,52.2603297,4413,2024-10-25 20:13:32,2
512,21.0521675,52.2529702,4422,2024-10-25 20:13:34,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.065161,52.288132,5457,2024-10-25 20:13:30,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.059729,52.284721,1550,2024-10-25 20:13:41,3
512,21.040183,52.256889,1833,2024-10-25 20:13:55,5
512,21.0474455,52.2603224,4413,2024-10-25 20:13:56,2
512,21.0521642,52.2529962,4422,2024-10-25 20:13:55,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.063616,52.286564,5457,2024-10-25 20:13:55,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.061399,52.285201,1550,2024-10-25 20:14:01,3
512,21.04128,52.257431,1833,2024-10-25 20:14:15,5
512,21.0450997,52.2593039,4413,2024-10-25 20:14:16,2
512,21.0521635,52.2529877,4422,2024-10-25 20:14:18,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.062798,52.285721,5457,2024-10-25 20:14:17,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.062148,52.285204,1550,2024-10-25 20:14:22,3
512,21.044859,52.258998,1833,2024-10-25 20:14:35,5
512,21.0409989,52.2575182,4413,2024-10-25 20:14:38,2
512,21.0521645,52.2529967,4422,2024-10-25 20:14:38,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.061779,52.285213,5457,2024-10-25 20:14:38,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.063288,52.286169,1550,2024-10-25 20:14:42,3
512,21.048503,52.260595,1833,2024-10-25 20:14:55,5
512,21.0367507,52.2556534,4413,2024-10-25 20:15:02,2
512,21.0521669,52.2530007,4422,2024-10-25 20:15:02,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.060917,52.285038,5457,2024-10-25 20:15:00,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.065236,52.288179,1550,2024-10-25 20:15:22,3
512,21.052453,52.262311,1833,2024-10-25 20:15:15,5
512,21.0364014,52.2554882,4413,2024-10-25 20:15:23,2
512,21.0521799,52.2530054,4422,2024-10-25 20:15:22,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.058701,52.284412,5457,2024-10-25 20:15:20,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.067188,52.290168,1550,2024-10-25 20:15:42,3
512,21.058559,52.266288,1833,2024-10-25 20:15:56,5
512,21.0364009,52.2554961,4413,2024-10-25 20:15:57,2
512,21.0522034,52.2529895,4422,2024-10-25 20:15:58,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.055845,52.283752,5457,2024-10-25 20:15:55,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.068449,52.291321,1550,2024-10-25 20:16:03,3
512,21.058851,52.266636,1833,2024-10-25 20:16:16,5
512,21.0364302,52.2554849,4413,2024-10-25 20:16:18,2
512,21.0521989,52.2529887,4422,2024-10-25 20:16:16,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.053223,52.283257,5457,2024-10-25 20:16:16,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.068566,52.291393,1550,2024-10-25 20:16:23,3
512,21.058851,52.266636,1833,2024-10-25 20:16:16,5
512,21.0359485,52.2552591,4413,2024-10-25 20:16:29,2
512,21.0521981,52.2529899,4422,2024-10-25 20:16:30,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.05282,52.283371,5457,2024-10-25 20:16:26,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.069608,52.290888,1550,2024-10-25 20:17:03,3
512,21.06051,52.268693,1833,2024-10-25 20:16:56,5
512,21.03533,52.2550434,4413,2024-10-25 20:17:02,2
512,21.0521984,52.2529777,4422,2024-10-25 20:17:04,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.050413,52.285656,5457,2024-10-25 20:17:02,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.071333,52.289736,1550,2024-10-25 20:17:23,3
512,21.061643,52.270086,1833,2024-10-25 20:17:16,5
512,21.0354845,52.2538076,4413,2024-10-25 20:17:26,2
512,21.0522036,52.2529959,4422,2024-10-25 20:17:26,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.049711,52.286003,5457,2024-10-25 20:17:24,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.073978,52.287951,1550,2024-10-25 20:17:43,3
512,21.063463,52.272336,1833,2024-10-25 20:17:37,5
512,21.0357209,52.2536254,4413,2024-10-25 20:17:48,2
512,21.0522,52.2530022,4422,2024-10-25 20:17:47,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.049709,52.286011,5457,2024-10-25 20:17:49,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.074864,52.287244,1550,2024-10-25 20:18:04,3
512,21.064451,52.273388,1833,2024-10-25 20:17:57,5
512,21.0382635,52.2515781,4413,2024-10-25 20:18:11,2
512,21.0521885,52.2529785,4422,2024-10-25 20:18:10,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.049711,52.286003,5457,2024-10-25 20:18:09,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.074816,52.286389,1550,2024-10-25 20:18:24,3
512,21.064456,52.27342,1833,2024-10-25 20:18:17,5
512,21.0412307,52.2499989,4413,2024-10-25 20:18:33,2
512,21.0521754,52.2529677,4422,2024-10-25 20:18:32,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.049711,52.286007,5457,2024-10-25 20:18:30,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.074778,52.286313,1550,2024-10-25 20:18:44,3
512,21.065326,52.274524,1833,2024-10-25 20:18:37,5
512,21.0413387,52.2499291,4413,2024-10-25 20:18:56,2
512,21.052182,52.2529839,4422,2024-10-25 20:18:55,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.049709,52.286011,5457,2024-10-25 20:18:55,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.073691,52.284976,1550,2024-10-25 20:19:05,3
512,21.06547,52.274748,1833,2024-10-25 20:18:57,5
512,21.0414714,52.2498366,4413,2024-10-25 20:19:15,2
512,21.0521882,52.2529804,4422,2024-10-25 20:19:15,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.049707,52.286003,5457,2024-10-25 20:19:16,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.072026,52.282953,1550,2024-10-25 20:19:25,3
512,21.065556,52.274901,1833,2024-10-25 20:19:38,5
512,21.0427219,52.2494074,4413,2024-10-25 20:19:39,2
512,21.0521769,52.2529769,4422,2024-10-25 20:19:40,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.049715,52.286003,5457,2024-10-25 20:19:36,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
512,21.070631,52.281236,1550,2024-10-25 20:19:45,3
512,21.066786,52.276318,1833,2024-10-25 20:19:58,5
512,21.0438642,52.2498552,4413,2024-10-25 20:20:02,2
512,21.0521824,52.2529669,4422,2024-10-25 20:20:01,1
512,21.044369,52.2658757,5408,2024-10-25 13:41:20,1
512,21.049717,52.285999,5457,2024-10-25 20:20:01,4
512,21.046669,52.264824,8459,2024-10-25 17:35:36,4
